Created as New Dataset;Sample 007 By student Date söndag, februari 22 2026
nm;%T
1500,0;28,89
1503,8;29,41
1507,5;27,66
1511,3;28,46
1515,0;28,81
1518,8;29,28
1522,5;29,28
1526,3;28,46
1530,0;28,60
1533,8;30,29
1537,5;28,49
1541,3;27,61
1545,0;28,67
1548,8;27,22
1552,5;27,60
1556,3;27,68
1560,0;27,12
1563,8;27,67
1567,5;27,30
1571,3;26,46
1575,0;26,69
1578,8;26,44
1582,5;26,71
1586,3;26,50
1590,0;25,71
1593,8;26,29
1597,5;26,45
1601,3;26,61
1605,0;26,40
1608,8;27,01
1612,5;26,43
1616,3;26,69
1620,0;26,05
1623,8;27,11
1627,5;27,12
1631,3;28,47
1635,0;27,35
1638,8;26,97
1642,5;27,57
1646,3;28,46
1650,0;27,47
1653,8;28,58
1657,5;29,65
1661,3;29,42
1665,0;30,16
1668,8;29,69
1672,5;29,81
1676,3;30,98
1680,0;30,41
1683,8;30,89
1687,5;32,01
1691,3;31,32
1695,0;31,28
1698,8;32,03
1702,5;31,01
1706,3;31,78
1710,0;30,33
1713,8;30,94
1717,5;30,68
1721,3;29,44
1725,0;28,68
1728,8;28,84
1732,5;28,63
1736,3;28,20
1740,0;27,74
1743,8;27,24
1747,5;26,46
1751,3;25,88
1755,0;26,12
1758,8;25,00
1762,5;24,96
1766,3;24,49
1770,0;24,08
1773,8;24,53
1777,5;23,23
1781,3;23,05
1785,0;24,02
1788,8;23,65
1792,5;22,99
1796,3;23,83
1800,0;22,64
1803,8;23,34
1807,5;22,91
1811,3;23,92
1815,0;23,02
1818,8;23,64
1822,5;22,84
1826,3;23,08
1830,0;23,06
1833,8;23,52
1837,5;23,66
1841,3;22,59
1845,0;23,37
1848,8;21,70
1852,5;23,91
1856,3;24,33
1860,0;23,24
1863,8;24,97
1867,5;23,90
1871,3;23,41
1875,0;24,44
1878,8;24,77
1882,5;26,06
1886,3;25,07
1890,0;24,85
1893,8;25,80
1897,5;26,76
1901,3;25,44
1905,0;26,79
1908,8;26,24
1912,5;26,84
1916,3;26,95
1920,0;25,81
1923,8;27,29
1927,5;26,26
1931,3;26,83
1935,0;26,92
1938,8;26,87
1942,5;28,08
1946,3;27,91
1950,0;28,72
1953,8;27,43
1957,5;29,24
1961,3;28,54
1965,0;29,49
1968,8;29,76
1972,5;29,01
1976,3;28,54
1980,0;29,40
1983,8;29,40
1987,5;29,44
1991,3;29,09
1995,0;29,59
1998,8;29,35
2002,5;29,53
2006,3;30,48
2010,0;30,47
2013,8;29,46
2017,5;29,74
2021,3;30,75
2025,0;30,73
2028,8;29,48
2032,5;29,50
2036,3;29,18
2040,0;30,80
2043,8;29,96
2047,5;29,01
2051,3;30,94
2055,0;30,27
2058,8;31,31
2062,5;31,18
2066,3;28,72
2070,0;29,26
2073,8;30,82
2077,5;29,98
2081,3;31,63
2085,0;32,06
2088,8;29,56
2092,5;30,37
2096,3;32,15
2100,0;32,83
2103,8;29,63
2107,5;32,54
2111,3;33,28
2115,0;30,91
2118,8;32,73
2122,5;31,52
2126,3;31,58
2130,0;31,33
2133,8;30,44
2137,5;32,31
2141,3;31,18
2145,0;31,76
2148,8;31,84
2152,5;31,20
2156,3;31,19
2160,0;31,78
2163,8;34,03
2167,5;28,51
2171,3;30,17
2175,0;30,11
2178,8;33,30
2182,5;30,33
2186,3;30,27
2190,0;30,83
2193,8;32,96
2197,5;32,41
2201,3;32,39
2205,0;32,32
2208,8;31,41
2212,5;32,69
2216,3;30,10
2220,0;28,45
2223,8;35,31
2227,5;28,02
2231,3;36,64
2235,0;30,72
2238,8;28,53
2242,5;31,83
2246,3;29,38
2250,0;32,89
2253,8;32,52
2257,5;34,24
2261,3;36,39
2265,0;34,24
2268,8;25,66
2272,5;32,37
2276,3;42,48
2280,0;29,71
2283,8;32,33
2287,5;38,40
2291,3;26,05
2295,0;29,73
2298,8;29,54
2302,5;27,38
2306,3;28,86
2310,0;27,98
2313,8;27,58
2317,5;29,83
2321,3;22,27
2325,0;22,91
2328,8;30,61
2332,5;31,65
2336,3;30,88
2340,0;26,42
2343,8;27,24
2347,5;28,65
2351,3;26,62
2355,0;30,01
2358,8;32,89
2362,5;27,08
2366,3;33,48
2370,0;32,25
2373,8;29,39
2377,5;28,23
2381,3;29,67
2385,0;31,07
2388,8;29,09
2392,5;32,92
2396,3;30,33
2400,0;32,55
2403,8;32,14
2407,5;32,29
2411,3;32,29
2415,0;32,71
2418,8;30,47
2422,5;32,05
2426,3;32,55
2430,0;31,28
2433,8;30,05
2437,5;32,48
2441,3;31,92
2445,0;32,67
2448,8;30,97
2452,5;34,06
2456,3;33,06
2460,0;32,96
2463,8;31,43
2467,5;32,22
2471,3;32,46
2475,0;33,79
2478,8;32,77
2482,5;31,67
2486,3;32,48
2490,0;31,91
2493,8;30,16
2497,5;30,91
2501,3;32,48
2505,0;31,35
2508,8;31,25
2512,5;30,94
2516,3;31,60
2520,0;32,22
2523,8;31,77
2527,5;32,60
2531,3;32,32
2535,0;32,40
2538,8;31,96
2542,5;32,93
2546,3;31,89
2550,0;32,03
2553,8;32,20
2557,5;31,71
2561,3;32,45
2565,0;32,79
2568,8;32,15
2572,5;34,03
2576,3;33,40
2580,0;32,97
2583,8;33,68
2587,5;33,15
2591,3;32,52
2595,0;33,04
2598,8;32,85
2602,5;33,37
2606,3;33,64
2610,0;32,48
2613,8;32,14
2617,5;33,05
2621,3;32,49
2625,0;32,76
2628,8;33,19
2632,5;32,90
2636,3;32,49
2640,0;32,73
2643,8;32,11
2647,5;32,67
2651,3;32,58
2655,0;33,11
2658,8;32,65
2662,5;33,43
2666,3;33,51
2670,0;33,93
2673,8;33,81
2677,5;33,02
2681,3;32,85
2685,0;32,58
2688,8;32,58
2692,5;33,06
2696,3;32,76
2700,0;32,52
2703,8;32,21
2707,5;31,97
2711,3;32,77
2715,0;32,81
2718,8;32,83
2722,5;33,14
2726,3;33,17
2730,0;31,98
2733,8;32,79
2737,5;32,29
2741,3;32,94
2745,0;32,92
2748,8;32,63
2752,5;32,63
2756,3;32,34
2760,0;32,22
2763,8;32,41
2767,5;32,35
2771,3;32,22
2775,0;31,85
2778,8;31,99
2782,5;32,49
2786,3;31,93
2790,0;32,03
2793,8;31,77
2797,5;31,59
2801,3;32,25
2805,0;32,12
