Created as New Dataset;Sample 013 By student Date söndag, februari 22 2026
nm;%T
1500,0;27,82
1503,8;28,12
1507,5;27,01
1511,3;28,11
1515,0;28,08
1518,8;27,95
1522,5;28,81
1526,3;28,64
1530,0;28,67
1533,8;28,30
1537,5;28,51
1541,3;29,11
1545,0;28,72
1548,8;28,62
1552,5;29,22
1556,3;29,35
1560,0;29,12
1563,8;29,53
1567,5;29,45
1571,3;28,54
1575,0;29,01
1578,8;29,42
1582,5;28,21
1586,3;28,82
1590,0;29,23
1593,8;29,77
1597,5;28,11
1601,3;29,55
1605,0;28,57
1608,8;29,69
1612,5;30,39
1616,3;28,75
1620,0;29,29
1623,8;30,08
1627,5;29,99
1631,3;31,05
1635,0;29,93
1638,8;29,99
1642,5;30,38
1646,3;31,55
1650,0;30,66
1653,8;30,72
1657,5;32,61
1661,3;30,86
1665,0;32,97
1668,8;31,73
1672,5;30,54
1676,3;33,33
1680,0;30,04
1683,8;29,70
1687,5;32,75
1691,3;31,08
1695,0;28,85
1698,8;28,36
1702,5;31,11
1706,3;29,22
1710,0;28,33
1713,8;27,63
1717,5;29,09
1721,3;29,62
1725,0;28,25
1728,8;27,49
1732,5;27,77
1736,3;26,53
1740,0;27,05
1743,8;27,44
1747,5;28,17
1751,3;28,15
1755,0;27,59
1758,8;27,59
1762,5;28,43
1766,3;27,35
1770,0;27,38
1773,8;26,63
1777,5;26,96
1781,3;26,86
1785,0;26,77
1788,8;27,73
1792,5;27,29
1796,3;26,98
1800,0;27,38
1803,8;27,37
1807,5;27,17
1811,3;26,36
1815,0;27,12
1818,8;26,77
1822,5;26,74
1826,3;27,96
1830,0;25,93
1833,8;27,14
1837,5;27,29
1841,3;27,71
1845,0;26,67
1848,8;27,50
1852,5;27,95
1856,3;28,49
1860,0;28,12
1863,8;27,63
1867,5;28,14
1871,3;29,58
1875,0;27,89
1878,8;28,48
1882,5;28,09
1886,3;29,28
1890,0;28,54
1893,8;28,94
1897,5;28,04
1901,3;29,86
1905,0;30,23
1908,8;29,69
1912,5;29,30
1916,3;30,34
1920,0;29,62
1923,8;30,01
1927,5;30,05
1931,3;31,22
1935,0;28,96
1938,8;30,14
1942,5;30,07
1946,3;30,39
1950,0;29,70
1953,8;30,20
1957,5;30,50
1961,3;30,83
1965,0;31,32
1968,8;32,19
1972,5;31,08
1976,3;32,16
1980,0;30,70
1983,8;30,71
1987,5;30,31
1991,3;31,81
1995,0;30,67
1998,8;31,67
2002,5;31,94
2006,3;30,63
2010,0;32,13
2013,8;31,96
2017,5;32,01
2021,3;31,52
2025,0;32,59
2028,8;33,08
2032,5;33,84
2036,3;32,93
2040,0;33,52
2043,8;33,14
2047,5;32,16
2051,3;33,77
2055,0;33,97
2058,8;32,55
2062,5;32,43
2066,3;33,63
2070,0;33,86
2073,8;33,88
2077,5;33,83
2081,3;33,63
2085,0;32,53
2088,8;33,82
2092,5;33,85
2096,3;34,33
2100,0;34,02
2103,8;36,69
2107,5;34,00
2111,3;36,33
2115,0;34,71
2118,8;35,87
