Created as New Dataset;Sample 011 By student Date söndag, februari 22 2026
nm;%T
1500,0;30,73
1503,8;27,83
1507,5;27,02
1511,3;27,43
1515,0;28,55
1518,8;27,47
1522,5;28,51
1526,3;29,04
1530,0;28,21
1533,8;28,68
1537,5;28,47
1541,3;28,08
1545,0;26,98
1548,8;26,62
1552,5;27,50
1556,3;26,95
1560,0;27,80
1563,8;27,90
1567,5;28,15
1571,3;26,21
1575,0;25,97
1578,8;26,34
1582,5;26,56
1586,3;26,71
1590,0;25,40
1593,8;25,50
1597,5;24,64
1601,3;24,90
1605,0;25,56
1608,8;25,39
1612,5;24,69
1616,3;24,36
1620,0;23,29
1623,8;23,89
1627,5;24,77
1631,3;25,59
1635,0;24,39
1638,8;24,33
1642,5;24,92
1646,3;25,79
1650,0;24,88
1653,8;25,07
1657,5;26,53
1661,3;25,06
1665,0;26,66
1668,8;26,71
1672,5;27,84
1676,3;28,39
1680,0;27,32
1683,8;27,53
1687,5;28,09
1691,3;29,08
1695,0;28,75
1698,8;28,47
1702,5;28,94
1706,3;28,64
1710,0;29,68
1713,8;28,17
1717,5;30,03
1721,3;29,38
1725,0;28,53
1728,8;27,47
1732,5;29,03
1736,3;27,86
1740,0;26,37
1743,8;26,01
1747,5;26,81
1751,3;24,66
1755,0;24,33
1758,8;24,92
1762,5;23,39
1766,3;23,36
1770,0;22,60
1773,8;22,25
1777,5;21,68
1781,3;20,74
1785,0;20,56
1788,8;19,79
1792,5;19,71
1796,3;19,00
1800,0;17,86
1803,8;17,82
1807,5;17,77
1811,3;17,45
1815,0;17,10
1818,8;16,89
1822,5;18,49
1826,3;17,04
1830,0;16,10
1833,8;15,91
1837,5;17,11
1841,3;15,20
1845,0;14,58
1848,8;14,90
1852,5;14,94
1856,3;14,80
1860,0;14,69
1863,8;14,47
1867,5;15,19
1871,3;16,44
1875,0;14,83
1878,8;13,98
1882,5;14,88
1886,3;14,20
1890,0;14,88
1893,8;15,42
1897,5;15,02
1901,3;14,90
1905,0;17,12
1908,8;16,63
1912,5;17,25
1916,3;16,40
1920,0;17,13
1923,8;16,89
1927,5;16,54
1931,3;17,75
1935,0;18,37
1938,8;18,59
1942,5;18,47
1946,3;19,15
1950,0;19,08
1953,8;18,78
1957,5;19,27
1961,3;20,75
1965,0;20,48
1968,8;19,64
1972,5;20,38
1976,3;19,79
1980,0;20,45
1983,8;21,37
1987,5;21,57
1991,3;22,90
1995,0;22,04
1998,8;21,94
2002,5;22,72
2006,3;22,24
2010,0;22,48
2013,8;23,43
2017,5;24,28
2021,3;24,31
2025,0;24,07
2028,8;23,82
2032,5;24,35
2036,3;23,54
2040,0;26,20
2043,8;24,50
2047,5;25,44
2051,3;24,61
2055,0;26,01
2058,8;26,16
2062,5;24,84
2066,3;24,63
2070,0;27,02
2073,8;24,67
2077,5;26,78
2081,3;27,19
2085,0;26,16
2088,8;25,78
2092,5;26,66
2096,3;27,17
2100,0;27,32
2103,8;26,43
2107,5;26,81
2111,3;27,31
2115,0;27,97
2118,8;26,25
2122,5;29,09
2126,3;29,07
2130,0;30,91
2133,8;28,40
2137,5;28,86
2141,3;28,16
2145,0;27,66
2148,8;27,81
2152,5;29,39
2156,3;27,22
2160,0;29,88
2163,8;31,70
2167,5;32,87
2171,3;31,89
2175,0;30,38
2178,8;33,50
2182,5;30,11
2186,3;31,37
2190,0;32,54
2193,8;32,05
2197,5;32,21
2201,3;29,51
2205,0;30,76
2208,8;35,16
2212,5;36,00
2216,3;36,40
2220,0;34,88
2223,8;37,64
2227,5;32,65
2231,3;35,33
2235,0;35,83
2238,8;37,52
2242,5;35,57
2246,3;39,45
2250,0;36,41
2253,8;32,38
2257,5;40,45
2261,3;44,60
2265,0;46,61
2268,8;42,57
2272,5;44,06
2276,3;31,85
2280,0;50,79
2283,8;37,14
2287,5;45,43
2291,3;50,51
2295,0;26,58
2298,8;38,63
2302,5;33,34
2306,3;19,72
2310,0;11,68
2313,8;15,13
2317,5;12,09
2321,3;20,34
2325,0;16,43
2328,8;20,23
2332,5;15,65
2336,3;16,79
2340,0;15,49
2343,8;17,65
2347,5;15,73
2351,3;20,91
2355,0;21,05
2358,8;17,12
